N,T,FE_bias,Pool_bias,IV_bias
50,5,-0.4029527280354789,0.3731408210735866,0.05958238170320573
50,10,-0.17750204329196606,0.372809295040088,0.007218469980936093
50,20,-0.08738893387579044,0.3716326278427106,0.004096255467007546
100,5,-0.41370396964388506,0.3726769514082748,0.01092155781430928
100,10,-0.18092528083199305,0.3704444366528811,0.015369783841501979
100,20,-0.08131736761708115,0.37398629288527674,0.004976196870223407
200,5,-0.4098463902356637,0.37313845563318865,-0.0002511551456367611
200,10,-0.1841417740972402,0.3745790304498728,-8.161618271756821e-05
200,20,-0.0841119168898718,0.3738197640036682,0.0008349363143567157
